Station,Date,Time,Temp,pH,SpCond,TDS,Redox,DO_mgL,DO_Sat,Depth_m,Chlorophyll-a_ugL,Salinity_psu,Year
Rock Springs 1,1/24/2024,12:08,10.548,6.925,899.2,0.5755,349.8,6.988,64.38,0.1612,0,0.45,24
Rock Springs 1,2/12/2024,11:02,10.699,7.145,900.9,0.5766,295.2,6.925,64.38,0.1746,0,0.45,24
Rock Springs 1,4/22/2024,12:05,11.401,7.232,878.6,0.5623,327,6.912,65.74,0.103,0.642,0.44,24
Rock Springs 1,9/3/2024,13:52,10.9625,6.9135,720.85,0.4614,397.45,6.6525,61.66,0.14105,,0.355,24
Rock Springs 1,11/20/2024,15:03,10.898,7.072,938.1,0.6006,369.2,6.639,62.39,0.3181,,0.47,24
Rock Springs 2,1/24/2024,12:10,10.652,7.091,896.7,0.574,343.2,7.488,69.18,0.1622,0,0.45,24
Rock Springs 2,2/12/2024,11:04,10.722,7.183,898,0.5747,300,7.324,68.13,0.174,0,0.45,24
Rock Springs 2,4/22/2024,12:06,10.961,7.149,891.6,0.5706,326,7.324,68.94,0.1042,0.442,0.446,24
Rock Springs 2,9/3/2024,13:56,10.91,6.855238095,922.6190476,0.590619048,386.8571429,6.811428571,63.10952381,0.140190476,,0.46,24
Rock Springs 2,11/20/2024,15:06,10.9,7.115555556,937.8888889,0.6,360.7777778,6.675555556,62.73333333,0.307888889,,0.47,24
Rock Springs 3,1/24/2024,12:12,10.17545455,7.058181818,894.4545455,0.572727273,346.0909091,6.399090909,58.77272727,0.226454545,13.88,0.448181818,24
Rock Springs 3,2/12/2024,11:06,10.75222222,7.157777778,899,0.575,301.6666667,6.595555556,61.37777778,0.241444444,0.022222222,0.45,24
Rock Springs 3,4/22/2024,12:08,11.17,7.086,891.6,0.5706,327.9,6.664,63.03,0.1573,0.014,0.445,24
Rock Springs 3,9/3/2024,13:58,10.9,7,924.1,0.5914,390.6,6.447,59.7,0.2321,,0.46,24
Rock Springs 3,11/20/2024,15:07,10.871,7.137,924,0.591,353.4,6.707,63,0.3975,,0.46,24
Storm Water Pond ICO 1,7/17/2024,12:25,23.893,7.31,206,0.132,244.2,5.935,72.66,0.3164,1.57,0.1,24
Storm Water Pond ICO 2,8/1/2024,14:28,22.82,7.288,229,0.147,315.4,4.745,57.21,0.1379,1.551,0.11,24
Storm Water Pond S33-14,9/12/2024,8:56,21.373,7.599,468.1,0.2995,332.7,9.438,110.61,0.151,1.57,0.23,24
Storm Water Pond SWTF,7/17/2024,12:36,23.436,7.702,91,0.058,241.6,9.322,113.05,0.3012,1.57,0.05,24
Storm Water Pond SWTF,8/1/2024,14:02,23.623,6.955,76,0.049,249,2.496,30.55,0.1191,1.558,0.04,24
Stream Site 1,5/2/2024,15:37,13.666,7.321,551,0.3529,338.2,7.43,74.6,0.1831,5.958,0.27,24
Stream Site 1,5/6/2024,15:25,17.692,7.213,609.7,0.3903,373.1,6.184,67.75,0.0647,3.318,0.3,24
Stream Site 1,5/15/2024,10:43,16.851,7.321,831.1,0.5319,281.3,6.173,66.25,0.1447,0,0.41,24
Stream Site 1,5/23/2024,15:23,20.15,7.114,461,0.295,349.9,6.165,70.91,0.1725,4.143,0.22,24
Stream Site 1,5/29/2024,14:53,18.61,7.376,516,0.33,265.4,5.646,62.11,0.2606,2.604,0.25,24
Stream Site 1,6/4/2024,11:24,21.259,7.4185,414,0.265,352.35,5.911,69.915,0.1383,3.841,0.2,24
Stream Site 1,6/13/2024,11:45,18.789,7.401,623,0.399,256.6,5.608,62.57,0.0026,2.941,0.3,24
Stream Site 1,6/18/2024,10:31,19.89363636,7.411818182,433.8181818,0.277636364,260.1818182,6.121818182,70.37272727,0.017818182,8.146363636,0.21,24
Stream Site 1,6/27/2024,11:27,20.49,7.337777778,525.5555556,0.336,189.2222222,5.097777778,58.65555556,0.172888889,,0.26,24
Stream Site 1,7/1/2024,16:39,19.251,7.28,597,0.382,272.1,5.449,61.11,-0.011672314,,0.29,24
Stream Site 1,7/11/2024,10:21,19.33090909,7.224545455,742.9090909,0.475363636,272.5454545,5.573636364,62.45454545,0.096909091,,0.364545455,24
Stream Site 1,7/16/2024,11:51,20.24333333,7.198888889,895,0.573,257.5555556,5.812222222,66.77777778,0.071444444,,0.44,24
Stream Site 1,7/26/2024,10:21,18.5,7.148333333,1028,0.658,301.6666667,7.2325,79.78333333,0.09325,,0.51,24
Stream Site 1,8/2/2024,9:41,17.93727273,7.193636364,1039.818182,0.665545455,238.3636364,6.440909091,70.19090909,0.188,,0.52,24
Stream Site 1,8/9/2024,9:17,18.22,7.35,705.6363636,0.451727273,183.0909091,6.083636364,66.63636364,0.086090909,,0.35,24
Stream Site 1,8/13/2024,11:14,18.055,7.3575,804.3125,0.514375,218.25,6.89125,75.10625,0.0639375,,0.4,24
Stream Site 1,8/19/2024,14:41,19.246,7.277,761.3,0.4874,230.7,6.8,75.71,0.0662,,0.37,24
Stream Site 1,9/4/2024,11:37,18.386,7.407,996.2,0.6376,224,7.818,85.93,0.0842,,0.497,24
Stream Site 1,9/10/2024,10:08,16.94,7.621,1015,0.649,222.3,8.22,88.42,0.0386,,0.51,24
Stream Site 1,9/17/2024,9:00,19.459,7.53,1077.1,0.6894,111.3,5.821,65.71,0.0305,,0.54,24
Stream Site 1,9/24/2024,15:33,17.568,7.401,1154.5,0.7388,261.6,8.319,90.89,-0.040315498,,0.58,24
Stream Site 1,10/1/2024,14:39,14.455,7.403,1187.1,0.7599,307.2,8.863,89.42,0.0696,,0.6,24
Stream Site 2,4/4/2024,16:12,11.264,6.86,903.6,0.5785,376.8,7.138,67.58,0.0963,2.861,0.45,24
Stream Site 2,4/9/2024,15:56,13.7,7.114,727.2,0.4653,308.2,6.955,69.87,0.0509,2.484,0.36,24
Stream Site 2,4/17/2024,11:14,9.647,7.351,634,0.406,314,8.873,81.61,-0.007703728,4.127,0.31,24
Stream Site 2,4/24/2024,11:38,11.16,7.522,693,0.4439,275.7,8.86,82.65,0.2299,2.754,0.34,24
Stream Site 2,4/29/2024,15:42,10.288,7.583,678,0.434,358.7,8.855,82.43,0.1324,3.319,0.34,24
Stream Site 2,5/6/2024,14:54,18.696,7.668,589.3,0.377,357.7,7.529,84.1,0.1317,8.476,0.29,24
Stream Site 2,5/15/2024,9:42,14.93,7.424,804.9,0.5153,315.2,7.824,80.51,0.1673,11.797,0.4,24
Stream Site 2,5/23/2024,14:48,20.566,7.698,454.6,0.2908,309.1,7.436,86.16,0.266,7.206,0.22,24
Stream Site 2,5/29/2024,14:15,18.505,7.638,498.6,0.3191,300.8,7.771,85.19,0.3865,33.693,0.24,24
Stream Site 2,6/13/2024,11:16,18.45909091,7.933636364,620.7272727,0.397,274.4545455,8.29,91.8,0.024818182,2.931818182,0.3,24
Stream Site 2,6/18/2024,10:08,19.95666667,7.628888889,434,0.278,253.3333333,7.694444444,88.44444444,0.062666667,8.922222222,0.21,24
Stream Site 2,6/27/2024,11:05,20.01909091,7.78,519.1818182,0.332363636,181.3636364,7.72,87.91818182,0.150363636,,0.25,24
Stream Site 2,7/1/2024,16:15,19.17555556,7.864444444,590,0.377666667,281,8.171111111,91.42222222,0.101555556,,0.29,24
Stream Site 2,7/11/2024,10:03,19.828,7.891,710.9,0.4547,306,3.102,35.08,0.2058,,0.35,24
Stream Site 2,7/16/2024,11:30,19.983,7.825,869.4,0.5564,256,4.763,54.41,0.1112,,0.43,24
Stream Site 2,7/26/2024,10:01,19.403,7.959,963.9,0.6169,354,8.53,95.75,0.0865,,0.48,24
Stream Site 2,8/2/2024,9:22,19.387,8.136,985.4,0.6307,251.6,8.617,96.66,0.1736,,0.49,24
Stream Site 2,8/9/2024,8:55,16.62363636,8.129090909,698,0.447,179.6363636,8.469090909,89.69090909,0.098909091,,0.34,24
Stream Site 2,8/13/2024,10:51,18.70666667,7.742222222,782.5555556,0.500777778,227.1111111,0.404444444,4.477777778,0.133222222,,0.388888889,24
Stream Site 2,8/19/2024,14:11,19.626,7.755,804,0.5146,338.3,8.21,92.04,0.1065,,0.4,24
Stream Site 2,9/4/2024,11:04,18.039,7.93,903.8,0.5786,241.8,7.714,84.1,0.0967,,0.45,24
Stream Site 2,9/10/2024,9:19,17.774,7.847,953,0.61,61,3.655,39.99,0.0288,,0.47,24
Stream Site 5,4/4/2024,14:30,4.478,6.559,1078.4,0.6902,345.9,11.687,94.04,0.1209,2.829,0.55,24
Stream Site 5,4/9/2024,14:15,5.239,6.443,925.5,0.5924,372.7,10.333,85.03,0.1504,3.493,0.466,24
Stream Site 5,4/17/2024,9:45,4.021,6.595,840.5,0.53785,311.65,7.577,60.87,-0.019378578,8.2815,0.42,24
Stream Site 5,4/24/2024,9:29,4.501,6.892,1000.8,0.6407,289.5,11.522,91.64,0.2161,3.359,0.508,24
Stream Site 5,4/29/2024,15:03,7.976,7.318,880.2,0.5634,355.5,8.458,74.77,0.1849,5.731,0.44,24
Stream Site 5,5/7/2024,10:27,12.487,7.037,869.6,0.5566,347.2,8.618,85.71,-0.079243405,5.141,0.43,24
Stream Site 5,5/14/2024,9:09,11.536,7.095,955.6,0.6116,307.9,8.989,85.99,0.0731,5.193,0.48,24
Stream Site 5,5/22/2024,14:41,17.829,7.173,760.1,0.4865,340.3,5.195,57.3,0.2964,5.624,0.37,24
Stream Site 5,5/29/2024,9:39,12.263,7.254,789,0.505,317.9,7.757,74.44,0.2023,4.828,0.39,24
Stream Site 5,6/4/2024,11:09,19.915,7.254,638,0.4085,372.9,4.082,47.13,0.3245,4.588,0.31,24
Stream Site 5,6/13/2024,13:19,17.985,7.42,708.5,0.453416667,308,6.6975,73.70833333,0.132166667,5.728333333,0.35,24
Stream Site 5,6/18/2024,8:31,19.04416667,7.2325,584,0.374,270.5833333,3.761666667,42.6,0.174,4.579166667,0.28,24
Stream Site 5,6/27/2024,9:39,17.8,7.414285714,645,0.413,254.8571429,6.138571429,67,0.153142857,,0.32,24
Stream Site 5,7/1/2024,14:20,18.107,7.303,692,0.443,310.9,6.824,74.76,0.0476,,0.34,24
Stream Site 5,7/11/2024,8:36,17.909,7.469,738,0.4721,370,6.9,75.28,0.1953,,0.36,24
Stream Site 5,7/16/2024,9:36,19.28,7.508888889,796.8888889,0.51,324.5555556,6.821111111,77.03333333,0.049666667,,0.39,24
Stream Site 5,7/26/2024,8:30,18.23545455,7.384545455,839,0.537,387.0909091,7.512727273,82.49090909,0.133181818,,0.41,24
Stream Site 5,8/2/2024,8:08,18.8,7.489166667,842.75,0.539,265.1666667,5.715833333,63.49166667,0.162083333,,0.42,24
Stream Site 5,8/8/2024,14:09,18.79636364,7.508181818,869.9090909,0.556909091,284.5454545,6.685454545,74.44545455,0.121181818,,0.43,24
Stream Site 5,8/13/2024,8:57,16.085625,7.61375,899.8125,0.57575,328.25,8.156875,85.50625,0.034375,,0.45,24
Stream Site 5,8/20/2024,8:47,16.46,7.237,895,0.573,396.2,7.731,81.33,0.0742,,0.44,24
Stream Site 5,8/26/2024,10:08,20.582,7.691,936.8,0.5998,297,7.138,82.44,0.1018,,0.46,24
Stream Site 5,9/4/2024,14:34,18.454,7.601,959,0.6139,330.5,7.915,87.43,0.032,,0.48,24
Stream Site 5,9/9/2024,9:31,14.386,7.207,935.1,0.5983,381.4,8.453,85.69,0.0572,,0.47,24
Stream Site 5,9/16/2024,14:16,20.83181818,7.587272727,1008.272727,0.645272727,350,7.585454545,87.90909091,0.026272727,,0.5,24
Stream Site 5,9/24/2024,14:12,15.94444444,7.624444444,1012.333333,0.647777778,283,8.431111111,89.2,-0.023006892,,0.506666667,24
Stream Site 5,10/1/2024,10:34,13.478,7.318,1050.3,0.6724,313.8,8.241,81.39,0.0597,,0.53,24
Stream Site 5,10/10/2024,9:38,11.844,7.365,1039.8,0.6655,360.8,7.405,70.86,0.0659,,0.52,24
Stream Site 5,10/18/2024,9:04,9.725,7.046,632,0.4044,367,5.37,48.85,-0.010269725,,0.31,24
Stream Site 5,10/22/2024,9:22,13.821,7.117,1099.1,0.7034,366,1.894,19.11,-0.020652081,,0.55,24
Stream Site 5,10/28/2024,9:53,9.2,7.169,1063.9,0.6809,340.6,8.568,77.98,0.0994,,0.54,24
Stream Site 5,11/6/2024,14:14,7.076,6.872,947.1,0.606,341.4,9.207,78.42,0.1615,,0.48,24
Stream Site 5,11/12/2024,9:34,3.113,6.943,947,0.606,374.7,10.977,84.22,0.1158,,0.48,24
Stream Site 6,4/4/2024,16:33,7.803,6.593,1454,0.9304,335.4,7.809,68.38,0.2163,10.66,0.746,24
Stream Site 6,4/9/2024,16:26,10.59,7.534,807,0.516,337.5,10.345,97.18,0.1268,15.437,0.4,24
Stream Site 6,4/17/2024,11:46,9.716,7.139,971,0.6219,318.2,6.064,56.08,-0.057433876,20.249,0.49,24
Stream Site 6,4/24/2024,12:03,11.08181818,6.784545455,2043.818182,1.307909091,291,6.666363636,62.53636364,0.166909091,7.701818182,1.06,24
Stream Site 6,4/29/2024,14:04,10.22222222,7.246666667,944,0.604,324.2222222,7.224444444,67.53333333,0.141888889,13.47555556,0.47,24
Stream Site 6,5/7/2024,11:04,15.473,7.131,1394.7,0.8926,324.6,5.525,58.83,-0.14607815,5.53,0.71,24
Stream Site 6,5/14/2024,10:35,16.816,6.922,2089.8,1.3375,263.7,5.349,57.72,0.1168,26.925,1.08,24
Stream Site 6,5/22/2024,14:03,19.041,7.107,730.1,0.4672,249.2,5.033,56.95,0.1944,9.412,0.36,24
Stream Site 6,5/29/2024,10:57,16.937,7.187,795.4,0.509,219.2,4.213,44.82,0.2491,5.394,0.39,24
Stream Site 6,6/4/2024,14:54,23.304,7.633,660.8,0.4228,316.1,6.024,74.48,0.1068,9.834,0.32,24
Stream Site 6,6/13/2024,14:49,21.392,7.133,720,0.461,188.6,2.502,29.52,0.002545524,3.396,0.35,24
Stream Site 6,6/18/2024,10:58,21.252,7.52,587,0.376,212.1,4.786,56.7,0.12,7.288,0.29,24
Stream Site 6,6/27/2024,11:58,22.84,7.14,647,0.414,187.8571429,1.990714286,24.05714286,0.204714286,,0.32,24
Stream Site 6,7/1/2024,15:15,21.29636364,7.037272727,735,0.471,250.2727273,1.213636364,14.20909091,0.088454545,,0.36,24
Stream Site 6,7/11/2024,10:42,22.46,7,714,0.457,188,1.708333333,20.38333333,0.215666667,,0.35,24
Stream Site 6,7/16/2024,12:12,22.2,7.008888889,929,0.595,140.3333333,0.78,9.377777778,0.179111111,,0.46,24
Stream Site 6,7/26/2024,10:38,21.161,7.03,948,0.607,138,0.742,8.66,0.1767,,0.47,24
Stream Site 6,8/2/2024,9:59,23.381,7.25,633,0.405,171.3,3.41,41.43,0.2828,,0.31,24
Stream Site 6,8/8/2024,15:43,21.338,7.147,641.6,0.4108,184.8,3.42,40.06,0.1625,,0.31,24
Stream Site 6,8/13/2024,11:39,19.356,7.08,974.2,0.6234,153.7,1.302,14.63,0.0274,,0.48,24
Stream Site 6,8/20/2024,10:32,20.83,7.147,772,0.494,143.5,2.033,23.39,0.1687,,0.38,24
Stream Site 6,8/26/2024,9:35,23.141,7.092,1005,0.643,113,0.98,11.9,0.1067,,0.5,24
Stream Site 6,9/4/2024,10:29,17.22,7.008,1019,0.652,110,0.693,7.45,0.0974,,0.51,24
Stream Site 6,9/9/2024,10:20,15.913,6.991,1320.4,0.845,126.4,0.55,5.76,0.1334,,0.67,24
Stream Site 6,9/16/2024,15:29,21.519,6.94,2037.7,1.3044,75,0.072,0.86,0.0326,,1.04,24
Stream Site 6,9/24/2024,15:54,16.345,6.882,2531.1,1.62,113,0.695,7.45,-0.080358336,,1.317,24
Stream Site 6,10/1/2024,14:56,13.872,6.9,2614,1.673,111.3,0.655,6.6,0.0435,,1.37,24
Stream Site 6,10/10/2024,15:46,13.775,6.918,2767.2,1.7712,141,0.851,8.57,-0.016854186,,1.45,24
Stream Site 6,10/18/2024,11:19,9.77,6.828,2104.1,1.3467,151.7,1.152,10.55,0.0175,,1.09,24
Stream Site 6,10/22/2024,11:39,13.887,6.944,2772.9,1.7748,112.5,0.685,6.99,0.000401073,,1.45,24
Stream Site 6,10/28/2024,11:20,10.396,6.888,2552.5,1.6337,121.6,0.782,7.35,0.0347,,1.34,24
Stream Site 6,11/7/2024,14:51,7.375,6.877,1428,0.914,192.2,4.005,34.37,0.084,,0.73,24
Stream Site 6,11/12/2024,11:09,3.785,6.371,1898.9,1.215,190.6,3.343,26.24,0.0953,,0.99,24
Wetland S-11A,4/4/2024,14:03,9.975,7.218,1009.3,0.646,231.8,18.2,167.93,0.0547,7.809,0.51,24
Wetland S-11A,4/9/2024,14:01,12.811,7.417,1041.8,0.6668,343.5,15.587,153.98,0.069,28.411,0.52,24
Wetland S-11A,4/17/2024,14:17,11.765,7.532,1003,0.642,248.7,12.499,120.98,-0.011390355,5.093,0.5,24
Wetland S-11A,4/24/2024,9:08,11.443,7.452,999,0.6391,294,13.661,128.84,0.2103,3.208,0.5,24
Wetland S-11A,5/1/2024,14:00,17.327,8.024,983,0.629,310.5,21.543,233.62,0.2485,6.123,0.49,24
Wetland S-11A,5/7/2024,10:11,16.402,7.648,1053,0.674,205.6,12.027,130.46,-0.07384855,4.336,0.53,24
Wetland S-11A,5/14/2024,10:04,18.558,8.174,987.9,0.632,94.4,20.133,224.37,0.1282,3.784,0.49,24
Wetland S-11A,5/22/2024,14:24,20.078,8.279,753.6,0.482,302.2,17.195,198.62,0.0574,10.482,0.37,24
Wetland S-11A,5/29/2024,9:20,17.98111111,7.473333333,1077,0.689,305.3333333,8.45,91.92222222,0.244777778,5.136666667,0.54,24
Wetland S-11A,6/4/2024,10:46,22.82545455,7.376363636,933.9090909,0.597909091,326.6363636,9.460909091,115.8181818,0.103636364,5.215454545,0.46,24
Wetland S-11A,6/13/2024,13:02,25.419,7.605,949.6,0.6078,330.4,8.502,108.27,-0.057879026,3.835,0.47,24
Wetland S-11A,6/18/2024,8:18,19.802,7.549,967,0.619,226.7,7.365,84.84,-0.01082997,4.883,0.48,24
Wetland S-11A,6/27/2024,9:23,20.22909091,7.626363636,1030.454545,0.659636364,253.6363636,6.892727273,79.17272727,0.105454545,,0.51,24
Wetland S-11A,7/1/2024,14:06,22.12,8.247777778,1044,0.668,265.1111111,20.74888889,246.5888889,0.025222222,,0.52,24
Wetland S-11A,7/11/2024,8:21,20.39,7.374545455,1092,0.699,379.2727273,1.573636364,18.1,0.128363636,,0.54,24
Wetland S-11A,7/16/2024,9:19,21.01777778,7.375555556,1035.666667,0.663,276.3333333,2.853333333,33.41111111,0.086888889,,0.512222222,24
Wetland S-11A,7/26/2024,8:16,19.82,7.235,1128.833333,0.722,390.6666667,1.17,13.3,0.093833333,,0.56,24
Wetland S-11A,8/2/2024,7:55,19.89,7.345454545,1076.909091,0.689,241.1818182,0.483636364,5.5,0.200909091,,0.54,24
Wetland S-11A,8/8/2024,13:48,21.19454545,7.392727273,1077.909091,0.69,275.9090909,3.28,38.38181818,0.034090909,,0.54,24
Wetland S-11A,8/13/2024,8:43,18.66,7.16,1164,0.745,312.1666667,2.74,30.35,0.112333333,,0.58,24
Wetland S-11A,8/20/2024,8:32,19.655,7.26,1114.7,0.7132,340.2,0.959,10.78,0.1057,,0.56,24
Wetland S-11A,8/26/2024,9:53,22.08,7.368,1053,0.674,234.3,1.179,14.04,0.0962,,0.52,24
Wetland S-11A,9/4/2024,14:17,22.287,7.572,1073.9,0.687,278.4,9.055,108.04,0.057,,0.53,24
Wetland S-11A,9/9/2024,9:15,17.403,7.329,1137,0.7279,354.8,5.577,60.36,0.0681,,0.57,24
Wetland S-11A,9/16/2024,14:00,24.324,7.953,1050.4,0.6724,177.7,14.837,184.03,0.139,,0.52,24
Wetland S-11A,9/24/2024,13:57,17.075,7.271,1133,0.725,288.6,4.039,43.8,0.0331,,0.57,24
Wetland S-11A,10/1/2024,10:14,14.254,7.208,1111,0.711,285.4,4.52,45.44,0.108,,0.56,24
Wetland S-11A,10/10/2024,9:21,13.45,7.407,1115.2,0.714,294.2,5.409,53.72,0.0985,,0.56,24
Wetland S-11A,10/18/2024,8:48,9.466,7.212,1100,0.704,267.2,6.262,56.76,0.0287,,0.55,24
Wetland S-11A,10/22/2024,9:04,15.096,7.433,153.8,0.0984,293.3,5.851,60.59,0.0964,,0.077,24
Wetland S-11A,10/28/2024,9:39,10.439,6.908,1055,0.675,310.9,7.221,67.71,0.1311,,0.53,24
Wetland S-11A,11/6/2024,13:57,10.67,7.005,1018,0.652,368,4.443,41.29,0.1157,,0.51,24
Wetland S-11A,11/12/2024,9:20,6.42,6.899,998.6,0.639,276.7,5.842,48.87,0.1491,,0.5,24
Wetland S-11A,11/19/2024,16:21,9.539,7.568,981,0.628,293.1,8.965,82.88,0.2786,,0.49,24
Wetland S-11A,11/20/2024,12:54,5.096,6.877,936.3,0.5994,328.4,9.674,79.83,0.2213,,0.474,24
Wetland S-11A,11/21/2024,12:45,4.02,7.177,1014.3,0.649,290,10.509,83.34,0.3822,,0.51,24
Wetland S-11A,12/2/2024,13:17,2.942,7.162,822.2,0.5262,311.7,7.5425,57.16,0.15385,,0.41,24
